Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
0,TPE,0.29858,47:59.7,49:40.6,0 days 00:01:40.922342,,KNN,2,WPD,,ENT,,minkowski,2,,,,7,1,,,,0.5,coif1,56951.94,0.31,100.47,0.071319857,COMPLETE,0
1,TPE,0.1363,49:40.6,49:46.6,0 days 00:00:05.953217,,RF,,NONE,,FRAC,19,,,,,,,1,310,212,,,,56967.85,5.68,0.15,0.044764061,COMPLETE,0
2,TPE,0.08235,49:46.6,49:51.7,0 days 00:00:05.102803,,RF,,EMD,0.5,STAT,,,,,,,,0.55,210,202,,,,56970.61,4.57,0.4,0.047033091,COMPLETE,0
3,TPE,0.20464,49:51.7,51:37.6,0 days 00:01:45.884679,,MLP,2,EMD,0.05,ENT,,,,0.030097274,,33,3,1,,,,,,57002.42,17.91,87.85,0.054614573,COMPLETE,0
4,TPE,0.03299,51:37.6,51:40.0,0 days 00:00:02.390387,,MLP,,NONE,,WAVE,,,,0.027080358,,1,,0.85,,,,,,57004.77,1.86,0.4,0.03438879,COMPLETE,0
5,TPE,0.16137,51:40.0,51:42.4,0 days 00:00:02.417171,0.001304392,SVM,,NONE,,COV,,,,,,,,0.8,,,linear,,,57016.81,1.78,0.51,0.034085522,COMPLETE,0
6,TPE,0.051281359,51:42.4,52:12.0,0 days 00:00:29.583504,,RF,,NONE,,FRAC,27,,,,,,,0.8,310,2,,,,,,29.25,,PRUNED,0
7,TPE,0.076417722,52:12.0,52:44.4,0 days 00:00:32.398132,,MLP,,WPD,,FRAC,7,,,0.040962644,,242,,0.7,,,,1,coif1,,,27.47,,PRUNED,0
8,TPE,0.22138,52:44.4,52:47.3,0 days 00:00:02.866937,,LR,,EMD,0.05,COV,,,,,0.855817762,,,1,,,,,,57158.83,2.09,0.48,0.044609804,COMPLETE,0
9,TPE,0.091410094,52:47.3,54:31.9,0 days 00:01:44.563290,,RF,5,WPD,,ENT,,,,,,,7,0.55,610,192,,0.6,sym9,,,102.84,,PRUNED,0
10,TPE,0.17571,54:31.9,56:11.1,0 days 00:01:39.167582,,KNN,15,WPD,,ENT,,minkowski,1,,,,8,0.9,,,,0.25,db6,57201.43,0.3,98.73,0.095710573,COMPLETE,0
11,TPE,0.173198278,56:11.1,56:12.3,0 days 00:00:01.230438,,LR,,EMD,0.05,COV,,,,,0.869625667,,,0.95,,,,,,,,0.67,,PRUNED,0
12,TPE,0.101859449,56:12.3,57:28.8,0 days 00:01:16.449084,,LR,,WPD,,COV,,,,,0.701778474,,,0.65,,,,0.55,coif1,,,76.12,,PRUNED,0
