Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
0,TPE,0.4093,52:37.5,55:23.5,0 days 00:02:46.052379,,KNN,2,WPD,,ENT,,minkowski,2,,,,7,1,,,,0.5,coif1,107220.91,1.08,164.77,0.070069113,COMPLETE,0
1,TPE,0.46351,55:23.5,55:37.4,0 days 00:00:13.816706,,RF,,NONE,,FRAC,19,,,,,,,1,310,212,,,,107259.58,13.34,0.29,0.046930809,COMPLETE,0
2,TPE,0.34552,55:37.4,55:48.4,0 days 00:00:10.992851,,RF,,EMD,0.5,STAT,,,,,,,,0.55,210,202,,,,107277.73,10,0.81,0.043292542,COMPLETE,0
3,TPE,0.3629,55:48.4,58:23.9,0 days 00:02:35.560467,,MLP,2,EMD,0.05,ENT,,,,0.030097274,,33,3,1,,,,,,107355.07,15.29,140.01,0.074353256,COMPLETE,0
4,TPE,0.27997,58:24.0,58:29.8,0 days 00:00:05.811309,,MLP,,NONE,,WAVE,,,,0.027080358,,1,,0.85,,,,,,107366.83,4.91,0.69,0.042055616,COMPLETE,0
5,TPE,0.45621,58:29.8,58:35.5,0 days 00:00:05.751416,0.001304392,SVM,,NONE,,COV,,,,,,,,0.8,,,linear,,,107499.97,3.69,1.73,0.034884224,COMPLETE,0
6,TPE,0.234429677,58:35.6,59:30.7,0 days 00:00:55.129750,,RF,,NONE,,FRAC,27,,,,,,,0.8,310,2,,,,,,54.54,,PRUNED,0
7,TPE,0.201041416,59:30.7,00:31.3,0 days 00:01:00.579931,,MLP,,WPD,,FRAC,7,,,0.040962644,,242,,0.7,,,,1,coif1,,,50.13,,PRUNED,0
8,TPE,0.49408,00:31.3,00:36.9,0 days 00:00:05.605313,,LR,,EMD,0.05,COV,,,,,0.855817762,,,1,,,,,,107847.96,2.8,2.36,0.049000044,COMPLETE,0
9,TPE,0.302039767,00:36.9,03:19.5,0 days 00:02:42.554471,,RF,5,WPD,,ENT,,,,,,,7,0.55,610,192,,0.6,sym9,,,160.35,,PRUNED,0
10,TPE,0.46633,03:19.5,03:22.0,0 days 00:00:02.526192,,LR,,EMD,0.05,COV,,,,,0.89842488,,,0.9,,,,,,108075.58,0.89,1.27,0.053612013,COMPLETE,0
11,TPE,0.46633,03:22.0,03:24.7,0 days 00:00:02.607999,,LR,,EMD,0.05,COV,,,,,0.916943238,,,0.9,,,,,,108257.81,1.03,1.23,0.052003403,COMPLETE,0
12,TPE,0.435262244,03:24.7,03:26.8,0 days 00:00:02.138854,,LR,,EMD,0.3,COV,,,,,0.877357897,,,0.9,,,,,,,,1.32,,PRUNED,0
13,TPE,0.343087776,03:26.8,03:28.7,0 days 00:00:01.887561,,LR,,EMD,0.85,COV,,,,,0.556694196,,,0.7,,,,,,,,1.42,,PRUNED,0
14,TPE,0.437241147,03:28.7,03:32.2,0 days 00:00:03.437510,,LR,,EMD,0.25,COV,,,,,0.97541155,,,0.9,,,,,,,,2.44,,PRUNED,0
15,TPE,0.344625107,03:32.2,03:34.2,0 days 00:00:01.990642,,LR,,EMD,0.25,WAVE,,,,,0.507963479,,,0.95,,,,,,,,1.47,,PRUNED,0
16,TPE,0.113196525,03:34.2,03:44.5,0 days 00:00:10.301030,9.777103559,SVM,,EMD,0.95,STAT,,,,,,,,0.65,,,rbf,,,,,2.84,,PRUNED,0
17,TPE,0.51362,03:44.5,03:54.1,0 days 00:00:09.633615,,KNN,,EMD,0.55,COV,,euclidean,20,,,,,0.95,,,,,,108988.06,4.7,4.56,0.048656006,COMPLETE,0
18,TPE,0.57701,03:54.1,04:00.0,0 days 00:00:05.811621,,KNN,,EMD,0.65,COV,,euclidean,20,,,,,0.8,,,,,,109120.53,3.45,2.04,0.050637741,COMPLETE,0
19,TPE,0.73602,04:00.0,04:06.3,0 days 00:00:06.339313,,KNN,,WPD,,COV,,euclidean,20,,,,,0.8,,,,0.1,db6,109260.73,3.67,2.36,0.060676603,COMPLETE,0
20,TPE,0.7811,04:06.3,07:22.6,0 days 00:03:16.250157,,KNN,,WPD,,WAVE,,euclidean,20,,,,,0.75,,,,0.05,db6,109819.86,3.85,192.21,0.063082724,COMPLETE,0
21,TPE,0.78429,07:22.6,10:00.5,0 days 00:02:37.866166,,KNN,,WPD,,WAVE,,euclidean,19,,,,,0.75,,,,0.1,db6,109978.89,3.84,153.85,0.071579018,COMPLETE,0
22,TPE,0.70896,10:00.5,10:04.1,0 days 00:00:03.605177,,KNN,,WPD,,WAVE,,euclidean,20,,,,,0.7,,,,0.05,db6,109982.25,2.68,0.74,0.083180952,COMPLETE,0
23,TPE,0.79094,10:04.1,10:08.6,0 days 00:00:04.487096,,KNN,,WPD,,WAVE,,euclidean,14,,,,,0.75,,,,0.05,db6,109987.63,3.6,0.72,0.073657312,COMPLETE,0
24,TPE,0.56562,10:08.6,10:12.0,0 days 00:00:03.413657,,KNN,,WPD,,WAVE,,manhattan,13,,,,,0.65,,,,0.05,db6,109989.65,2.48,0.74,0.060599117,COMPLETE,0
25,TPE,0.80318,10:12.0,10:19.0,0 days 00:00:06.927024,,KNN,,WPD,,WAVE,,euclidean,14,,,,,0.75,,,,0.3,db4,109995.03,4,2.74,0.07377676,COMPLETE,0
26,TPE,0.46908873,10:19.0,10:20.6,0 days 00:00:01.612908,,KNN,,WPD,,WAVE,,euclidean,13,,,,,0.6,,,,0.3,db4,,,0.77,,PRUNED,0
27,TPE,0.80002,10:20.6,10:25.7,0 days 00:00:05.106656,,KNN,,WPD,,WAVE,,euclidean,14,,,,,0.75,,,,0.25,db4,110002.09,3.92,0.99,0.062329321,COMPLETE,0
28,TPE,0.60633,10:25.7,10:29.3,0 days 00:00:03.537014,,KNN,,WPD,,WAVE,,manhattan,14,,,,,0.65,,,,0.3,db4,110004.44,2.62,0.74,0.062726526,COMPLETE,0
29,TPE,0.81741,10:29.3,10:33.6,0 days 00:00:04.313323,,KNN,,WPD,,WAVE,,minkowski,8,,,,,0.75,,,,0.3,db4,110009.82,3.45,0.69,0.07407526,COMPLETE,0
