Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
0,TPE,0.2715,38:00.3,44:36.7,0 days 00:06:36.355521,,KNN,2,WPD,,ENT,,minkowski,2,,,,7,1,,,,0.5,coif1,109806.82,2.49,393.66,0.088378963,COMPLETE,0
1,TPE,0.30608,44:36.7,46:48.1,0 days 00:02:11.437419,,RF,,NONE,,FRAC,19,,,,,,,1,310,212,,,,109073.68,25.48,105.74,0.04496767,COMPLETE,0
2,TPE,0.22983,46:48.2,47:12.5,0 days 00:00:24.364438,,RF,,EMD,0.5,STAT,,,,,,,,0.55,210,202,,,,108958.45,22.75,1.44,0.042028685,COMPLETE,0
3,TPE,0.15094,47:12.5,52:22.2,0 days 00:05:09.647648,,MLP,2,EMD,0.05,ENT,,,,0.030097274,,33,3,1,,,,,,109079.99,27.09,282.35,0.070112028,COMPLETE,0
4,TPE,0.08249,52:22.2,52:31.2,0 days 00:00:08.951888,,MLP,,NONE,,WAVE,,,,0.027080358,,1,,0.85,,,,,,108942.55,7.38,1.39,0.03418685,COMPLETE,0
5,TPE,0.29957,52:31.2,53:17.9,0 days 00:00:46.764792,0.001304392,SVM,,NONE,,COV,,,,,,,,0.8,,,linear,,,109112.68,44.46,2.04,0.03495575,COMPLETE,0
6,TPE,0.155406541,53:17.9,55:07.3,0 days 00:01:49.376243,,RF,,NONE,,FRAC,27,,,,,,,0.8,310,2,,,,,,108.24,,PRUNED,0
7,TPE,0.073129368,55:07.3,56:58.9,0 days 00:01:51.557540,,MLP,,WPD,,FRAC,7,,,0.040962644,,242,,0.7,,,,1,coif1,,,105.33,,PRUNED,0
8,TPE,0.3259,56:58.9,01:33.2,0 days 00:04:34.269574,,LR,,EMD,0.05,COV,,,,,0.855817762,,,1,,,,,,110148.33,11.55,262.3,0.031114588,COMPLETE,0
9,TPE,0.199594535,01:33.2,06:59.4,0 days 00:05:26.227284,,RF,5,WPD,,ENT,,,,,,,7,0.55,610,192,,0.6,sym9,,,322.2,,PRUNED,0
10,TPE,0.31303,06:59.4,07:07.1,0 days 00:00:07.635386,,LR,,EMD,0.05,COV,,,,,0.89842488,,,0.9,,,,,,109188.92,5.24,2.08,0.048327465,COMPLETE,0
11,TPE,0.31303,07:07.1,07:15.0,0 days 00:00:07.899861,,LR,,EMD,0.05,COV,,,,,0.916943238,,,0.9,,,,,,109273.35,5.45,2.12,0.046626825,COMPLETE,0
12,TPE,0.291271237,07:15.0,07:19.8,0 days 00:00:04.825438,,LR,,EMD,0.3,COV,,,,,0.877357897,,,0.9,,,,,,,,2.15,,PRUNED,0
13,TPE,0.236854724,07:19.8,07:23.7,0 days 00:00:03.844426,,LR,,EMD,0.85,COV,,,,,0.556694196,,,0.7,,,,,,,,1.99,,PRUNED,0
14,TPE,0.305884819,07:23.7,11:59.6,0 days 00:04:35.945841,,LR,,EMD,0.25,COV,,,,,0.97541155,,,0.9,,,,,,,,271.1,,PRUNED,0
15,TPE,0.150492292,11:59.7,16:59.2,0 days 00:04:59.579099,,LR,,EMD,0.25,WAVE,,,,,0.507963479,,,0.95,,,,,,,,297.23,,PRUNED,0
16,TPE,0.034107744,16:59.2,20:56.9,0 days 00:03:57.611921,9.777103559,SVM,,EMD,0.95,STAT,,,,,,,,0.65,,,rbf,,,,,164.31,,PRUNED,0
17,TPE,0.58142,20:56.9,25:43.9,0 days 00:04:47.048738,,KNN,,EMD,0.55,COV,,euclidean,20,,,,,0.95,,,,,,113624.86,11.83,274.58,0.048926134,COMPLETE,0
18,TPE,0.63773,25:43.9,30:23.7,0 days 00:04:39.741441,,KNN,,EMD,0.65,COV,,euclidean,20,,,,,0.8,,,,,,110507.74,9.48,269.91,0.066966801,COMPLETE,0
19,TPE,0.64654,30:23.7,34:58.7,0 days 00:04:34.986294,,KNN,,WPD,,COV,,euclidean,20,,,,,0.8,,,,0.1,db6,109659.41,10,264.65,0.077760019,COMPLETE,0
20,TPE,0.7286,34:58.7,41:14.4,0 days 00:06:15.720895,,KNN,,WPD,,WAVE,,euclidean,20,,,,,0.75,,,,0.05,db6,110055.37,3.62,371.9,0.072770395,COMPLETE,0
21,TPE,0.73431,41:14.4,46:15.5,0 days 00:05:01.023928,,KNN,,WPD,,WAVE,,euclidean,19,,,,,0.75,,,,0.1,db6,109227.24,3.45,297.39,0.060302286,COMPLETE,0
22,TPE,0.66108,46:15.5,46:23.2,0 days 00:00:07.717535,,KNN,,WPD,,WAVE,,euclidean,20,,,,,0.7,,,,0.05,db6,108922.99,6.14,1.4,0.048006315,COMPLETE,0
23,TPE,0.5424,46:23.2,46:28.8,0 days 00:00:05.563293,,KNN,,WPD,,WAVE,,euclidean,15,,,,,0.65,,,,0.05,db6,108927.78,3.95,1.44,0.061805992,COMPLETE,0
24,TPE,0.67246,46:28.8,46:41.7,0 days 00:00:12.891954,,KNN,,WPD,,WAVE,,manhattan,14,,,,,0.7,,,,0.05,db6,108917.95,11.32,1.41,0.059421091,COMPLETE,0
25,TPE,0.7733,46:41.7,52:50.9,0 days 00:06:09.167514,,KNN,,WPD,,WAVE,,manhattan,13,,,,,0.75,,,,0.3,db4,110058.44,2.56,366.35,0.059541731,COMPLETE,0
26,TPE,0.78783,52:50.9,52:55.0,0 days 00:00:04.124108,,KNN,,WPD,,WAVE,,manhattan,8,,,,,0.75,,,,0.3,db4,108911.49,2.55,1.41,0.058704166,COMPLETE,0
27,TPE,0.373856764,52:55.0,58:05.1,0 days 00:05:10.045912,,KNN,,WPD,,WAVE,,manhattan,7,,,,,0.6,,,,0.35,db4,,,308.56,,PRUNED,0
